Region,Area / Neighbourhood,latitude,longitude,matched_name
Central Sharjah (City Centre),Al Qasimia,25.34526,55.3924,"Al Qasimia, SH, United Arab Emirates"
Central Sharjah (City Centre),Al Nud,25.34466,55.398355,"UAE Exchange, Sharjah, United Arab Emirates"
Central Sharjah (City Centre),Abu Shagara,25.338528,55.397455,"Abu Shagara, Sharjah, United Arab Emirates"
Central Sharjah (City Centre),Al Manakh,25.351893,55.397766,"Al Manakh, Sharjah, United Arab Emirates"
Central Sharjah (City Centre),Al Mareija,25.3558978,55.3776373,No match
Central Sharjah (City Centre),Al Mahatta,25.345061,55.394952,"Al Mahatta, Sharjah, United Arab Emirates"
Central Sharjah (City Centre),Al Nabba,25.364362,55.396198,"Al Nabba, Sharjah, United Arab Emirates"
Central Sharjah (City Centre),Bu Tina,25.34255,55.40152,"Bu Daniq, Sharjah, United Arab Emirates"
Central Sharjah (City Centre),Al Qulai'aah,25.3738169,55.3870093,No match
Central Sharjah (City Centre),Al Mujarrah,25.3663,55.39204,"Al Majarrah, Sharjah, United Arab Emirates"
Central Sharjah (City Centre),Al Soor,25.34466,55.398355,"UAE Exchange, Sharjah, United Arab Emirates"
Central Sharjah (City Centre),Al Musalla,25.358325,55.393671,"Jesr Al Musalla, Sharjah, United Arab Emirates"
Central Sharjah (City Centre),Al Nasserya,25.369259,55.409375,"Al Nasserya Street, Sharjah, United Arab Emirates"
Coastal Areas,Al Majaz 1,25.324366,55.385185,"Al Majaz Southern Part Street, Sharjah, United Arab Emirates"
Coastal Areas,Al Majaz 2,25.324366,55.385185,"Al Majaz Southern Part Street, Sharjah, United Arab Emirates"
Coastal Areas,Al Majaz 3,25.324366,55.385185,"Al Majaz Southern Part Street, Sharjah, United Arab Emirates"
Coastal Areas,Al Khan,25.32438,55.378014,"Al Khan Street, Sharjah, United Arab Emirates"
Coastal Areas,Al Taawun,25.317544,55.376356,"Al Taawun Street, Sharjah, United Arab Emirates"
Coastal Areas,Al Nahda,25.301645,55.381989,"Al Nahda Street, Sharjah, United Arab Emirates"
Coastal Areas,Al Layyah,25.338559,55.401569,"Al Layyah, Sharjah, United Arab Emirates"
Coastal Areas,Al Mamzar,25.305241,55.356198,"Al Mamzar Beach Street, Dubai, United Arab Emirates"
Coastal Areas,Buhaira Corniche,25.322871,55.382238,"Buhaira Police Station, Sharjah, United Arab Emirates"
Coastal Areas,Al Fisht,25.381327,55.402802,"Al Fisht, Sharjah, United Arab Emirates"
Coastal Areas,Al Heera,25.389008,55.420127,"Shatee Al Heera Cafeteria, Sharjah, United Arab Emirates"
Coastal Areas,Al Rifah,25.39304,55.42139,"Al Rifaah, Sharjah, United Arab Emirates"
Suburban & Residential Districts,Al Falaj,25.469537,55.586827,"Falaj Al Mu'alla Road, Al Hamriyah, SH, United Arab Emirates"
Suburban & Residential Districts,Al Ghubaiba,25.345436,55.41315,"Al Ghubaiba, Sharjah, United Arab Emirates"
Suburban & Residential Districts,Al Jazzat,25.364338,55.427423,"Al Jazzat, Sharjah, United Arab Emirates"
Suburban & Residential Districts,Al Ramla,25.496099,55.552875,"Al Ramla Street, Umm al-Quwain, United Arab Emirates"
Suburban & Residential Districts,Al Khazamiya,25.342553,55.43803,"Al Khazamiya, Sharjah, United Arab Emirates"
Suburban & Residential Districts,Al Yarmook,25.34929,55.394997,"Anwar Al Yarmook Shoes, Sharjah, United Arab Emirates"
Suburban & Residential Districts,Samnan,25.333748,55.423101,"Samnan, Sharjah, United Arab Emirates"
Suburban & Residential Districts,Al Talaa,25.337838,55.448376,"Al Tala'a, Sharjah, United Arab Emirates"
Suburban & Residential Districts,Al Abar,25.339249,55.421977,"Al Abar, Sharjah, United Arab Emirates"
Suburban & Residential Districts,Al Ramtha,25.3645,55.45461,"Al Ramstha, Sharjah, United Arab Emirates"
Suburban & Residential Districts,Al Azra,25.370787,55.445352,"Al Azra, Sharjah, United Arab Emirates"
Suburban & Residential Districts,Al Sabkha,25.274738,55.301782,"Al Sabkha Road, Dubai, United Arab Emirates"
Suburban & Residential Districts,Al Riqa Suburb,25.311716,55.37435,"Najmat Al Riqa Auto Accessories, Sharjah, United Arab Emirates"
New Developments & Modern Communities,Al Zahia,25.31925,55.465441,"Zahia Street (North Entrance), Sharjah, United Arab Emirates"
New Developments & Modern Communities,Aljada,25.318281,55.474888,"Aljada Skate Park + Park, Sharjah, United Arab Emirates"
New Developments & Modern Communities,Tilal City,25.317495,55.455445,"City Center Zahia, Sharjah, United Arab Emirates"
New Developments & Modern Communities,Al Rahmaniya,25.336717,55.57929,"Al Rahmaniya, Sharjah, United Arab Emirates"
New Developments & Modern Communities,Muwaileh Commercial,25.30886,55.457122,"Muwaileh Park, Sharjah, United Arab Emirates"
New Developments & Modern Communities,University City,25.299362,55.479316,"University City, Sharjah, United Arab Emirates"
New Developments & Modern Communities,Al Mamsha,25.308935,55.468061,"Al Mamsha, Sharjah, United Arab Emirates"
Industrial Areas,Industrial Area 1,25.316171,55.40773,"Second Industrial St - Industrial Area - Industrial Area 2 - Sharjah شارع الصناعي الثاني, Sharjah, United Arab Emirates"
Industrial Areas,Industrial Area 2,25.316171,55.40773,"Second Industrial St - Industrial Area - Industrial Area 2 - Sharjah شارع الصناعي الثاني, Sharjah, United Arab Emirates"
Industrial Areas,Industrial Area 3,25.316171,55.40773,"Second Industrial St - Industrial Area - Industrial Area 2 - Sharjah شارع الصناعي الثاني, Sharjah, United Arab Emirates"
Industrial Areas,Industrial Area 4,25.316171,55.40773,"Second Industrial St - Industrial Area - Industrial Area 2 - Sharjah شارع الصناعي الثاني, Sharjah, United Arab Emirates"
