Store,Area,Region,Distance (km)
Rolla,Al Musalla,Central Sharjah (City Centre),0.56
Rolla,Al Nabba,Central Sharjah (City Centre),1.01
Rolla,Dibba Al Hisn,Eastern Region (Wider Emirate),1.08
Rolla,Al Mujarrah,Central Sharjah (City Centre),1.14
Rolla,Al Yarmook,Suburban & Residential Districts,1.93
Rolla,Al Manakh,Central Sharjah (City Centre),1.99
Rolla,Al Mareija,Central Sharjah (City Centre),2.03
Rolla,Al Qasimia,Central Sharjah (City Centre),2.42
Rolla,Al Nasserya,Central Sharjah (City Centre),2.48
Rolla,Al Mahatta,Central Sharjah (City Centre),3.13
Rolla,Al Nud,Central Sharjah (City Centre),3.18
Rolla,Al Soor,Central Sharjah (City Centre),3.18
Rolla,Al Fisht,Coastal Areas,3.22
Rolla,Bu Tina,Central Sharjah (City Centre),3.44
Rolla,Al Ghubaiba,Suburban & Residential Districts,3.57
Rolla,Abu Shagara,Central Sharjah (City Centre),3.62
Rolla,Al Layyah,Coastal Areas,3.73
Rolla,Al Dhaid,Eastern Region (Wider Emirate),4.3
Rolla,Al Jazzat,Suburban & Residential Districts,4.55
Rolla,Al Abar,Suburban & Residential Districts,4.59
Rolla,Al Khan,Coastal Areas,5.49
Rolla,Al Heera,Coastal Areas,5.54
Rolla,Al Rifah,Coastal Areas,5.65
Rolla,Al Majaz 1,Coastal Areas,5.8
Rolla,Al Majaz 2,Coastal Areas,5.8
Rolla,Al Majaz 3,Coastal Areas,5.8
Rolla,Buhaira Corniche,Coastal Areas,5.84
Rolla,Al Taawun,Coastal Areas,6.79
Rolla,Industrial Area 1,Industrial Areas,7.08
Rolla,Industrial Area 2,Industrial Areas,7.08
Rolla,Industrial Area 3,Industrial Areas,7.08
Rolla,Industrial Area 4,Industrial Areas,7.08
Rolla,Industrial Area 5,Industrial Areas,7.08
Rolla,Industrial Area 6,Industrial Areas,7.08
Rolla,Industrial Area 7,Industrial Areas,7.08
Rolla,Industrial Area 8,Industrial Areas,7.08
Rolla,Industrial Area 9,Industrial Areas,7.08
Rolla,Industrial Area 10,Industrial Areas,7.08
Rolla,Industrial Area 11,Industrial Areas,7.08
Rolla,Industrial Area 12,Industrial Areas,7.08
Rolla,Industrial Area 13,Industrial Areas,7.08
Rolla,Industrial Area 14,Industrial Areas,7.08
Rolla,Industrial Area 15,Industrial Areas,7.08
Rolla,Industrial Area 16,Industrial Areas,7.08
Rolla,Industrial Area 18,Industrial Areas,7.08
Rolla,Al Azra,Suburban & Residential Districts,7.51
Rolla,Al Riqa Suburb,Suburban & Residential Districts,7.8
Rolla,Al Qulai'aah,Central Sharjah (City Centre),8.52
Rolla,Al Ramtha,Suburban & Residential Districts,8.94
Rolla,Kalba,Eastern Region (Wider Emirate),9.83
Rolla,Al Nahda,Coastal Areas,12.55
Rolla,Al Mamzar,Coastal Areas,13.41
Rolla,Al Madam,Eastern Region (Wider Emirate),15.55
Rolla,Al Sabkha,Suburban & Residential Districts,17.47
Rolla,Wadi Al Helo,Eastern Region (Wider Emirate),17.64
Rolla,Al Ramla,Suburban & Residential Districts,25.68
Rolla,Al Falaj,Suburban & Residential Districts,29.25
Muwaileh,Al Mamsha,New Developments & Modern Communities,1.53
Muwaileh,Muwaileh Commercial,New Developments & Modern Communities,1.61
Muwaileh,University City,New Developments & Modern Communities,1.75
Muwaileh,Tilal City,New Developments & Modern Communities,2.75
Muwaileh,Al Zahia,New Developments & Modern Communities,2.93
Muwaileh,Aljada,New Developments & Modern Communities,2.99
Muwaileh,Industrial Area 17,Industrial Areas,4.68
Muwaileh,Samnan,Suburban & Residential Districts,5.54
Muwaileh,Al Talaa,Suburban & Residential Districts,5.86
Muwaileh,Al Khazamiya,Suburban & Residential Districts,6.69
Muwaileh,Al Maleha,Eastern Region (Wider Emirate),8.51
Muwaileh,Al Rahmaniya,New Developments & Modern Communities,16.03
Muwaileh,Khor Fakkan,Eastern Region (Wider Emirate),21.82
Muwaileh,Al Bataeh,Eastern Region (Wider Emirate),31.85
